ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 108 Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,225,71,E,71.31,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"27,000.00",27,0.03
UNIT 173 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Retail/Financial,Retail/Financial and Professional services,3154,17,B+,17.17,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"173,470.00",173.47,0.17
UNIT 139 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,18,33,C+,32.59,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"1,530.00",1.53,0
Unit 154 Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,99,67,E+,67.42,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"11,880.00",11.88,0.01
UNIT 120A BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,123,53,D,52.67,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"12,300.00",12.3,0.01
Unit 111 and 112,Braehead Shopping Centre,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,151,21,B+,21.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"8,305.00",8.31,0.01
UNIT 160 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Retail/Financial,Retail/Financial and Professional services,60,12,A,12.2,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"1,800.00",1.8,0
UNIT 170 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Retail/Financial,Retail/Financial and Professional services,248,136,G,135.8,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"29,760.00",29.76,0.03
Unit 166A Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,134,84,F+,83.75,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,080.00",16.08,0.02
Fast Food Restaurant,Braehead Shopping Centre,Braehead,G51 4BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,377,95,F,95.02,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"45,240.00",45.24,0.05
121 Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,224,187,G,186.95,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"26,880.00",26.88,0.03
Units 144 and 145 Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,907,69,E+,69,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"108,840.00",108.84,0.11
UNIT 116 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,Retail/Financial,Retail/Financial and Professional services,14,13,A,12.83,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,420,0.42,0
Unit 101 Braehead Shopping Centre,King's Inch Road,Renfrew,G51 4BS,Retail/Financial,Retail/Financial and Professional services,615,200,G,199.5,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"73,800.00",73.8,0.07
