input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,search_term,PROPERTY_TYPE,PROPERTY_TYPE_SHORT,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,MAIN_HEATING_FUEL,ELECTRICITY_SOURCE,RENEWABLE_SOURCES,BUILDING_ENVIRONMENT,BUILDING_EMISSIONS,Demand KWH,Demand MWH,Demand GWH
,,,,L632400315 F0100,OFFICE,FLAT 1315 GOVAN ROADGLASGOWG51 2SE,BRITISH ASSOCIATION OF TEACHERS OF DANCING,,"£22,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=315+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400315+F0100&PPRN=47437502&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=315+Govan+Road&searchtype=listing#results,,315 Govan Road,Glasgow,G51 2SE,315 Govan Road,Offices and Workshop businesses,Office/Workshop,181,58,D,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,58.4,"18,100.00",18.1,0.02
,,,,L632400315 F0G01,OFFICE,FLAT GROUND-1GRD SUITE 2315 GOVAN ROADGLASGOWG51 2SE,XAFINITY PENSION TRUSTEES LTD,CREATIVE MATTERS,"£8,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=315+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400315+F0G01&PPRN=47501561&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=315+Govan+Road&searchtype=listing#results,,315 Govan Road,Glasgow,G51 2SE,315 Govan Road,Offices and Workshop businesses,Office/Workshop,181,58,D,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,58.4,"18,100.00",18.1,0.02
,,,,L632400315 F0G02,OFFICE,FLAT GROUND-2GRD SUITE 3315 GOVAN ROADGLASGOWG51 2SE,XAFINITY PENSION TRUSTEES LTD,CREATIVE MATTERS,"£2,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=315+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400315+F0G02&PPRN=47501588&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=315+Govan+Road&searchtype=listing#results,,315 Govan Road,Glasgow,G51 2SE,315 Govan Road,Offices and Workshop businesses,Office/Workshop,181,58,D,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,58.4,"18,100.00",18.1,0.02
,,,,L632400315 F0G00,OFFICE,FLAT GROUNDGRD SUITE 1315 GOVAN ROADGLASGOWG51 2SE,XAFINITY PENSION TRUSTEES LTD,CREATIVE MATTERS,"£8,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=315+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400315+F0G00&PPRN=47445556&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=315+Govan+Road&searchtype=listing#results,,315 Govan Road,Glasgow,G51 2SE,315 Govan Road,Offices and Workshop businesses,Office/Workshop,181,58,D,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,58.4,"18,100.00",18.1,0.02
,,,,L632400325 F0101,OFFICE,FLAT 1-1325 GOVAN ROADGLASGOWG51 2SE,CRANNOG ESTATES LIMITED,JM SKIN TRAINING ACADEMY LIMITED,"£10,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=325+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400325+F0101&PPRN=47552522&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=325+Govan+Road&searchtype=listing#results,,325 Govan Road,Glasgow,G51 2SE,325 Govan Road,Offices and Workshop businesses,Office/Workshop,462,74,E,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,73.99,"55,440.00",55.44,0.06
,,,,L632400325 F0102,OFFICE,FLAT 1-2325 GOVAN ROADGLASGOWG51 2SE,CRANNOG ESTATES LIMITED,JM SKIN LIMITED,"£8,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=325+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400325+F0102&PPRN=47552530&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=325+Govan+Road&searchtype=listing#results,,325 Govan Road,Glasgow,G51 2SE,325 Govan Road,Offices and Workshop businesses,Office/Workshop,462,74,E,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,73.99,"55,440.00",55.44,0.06
,,,,L632400325 F0G01,OFFICE,FLAT GROUND-1325 GOVAN ROADGLASGOWG51 2SE,CRANNOG ESTATES LIMITED,CSENG (GROUP) LIMITED,"£2,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=325+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400325+F0G01&PPRN=47437227&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=325+Govan+Road&searchtype=listing#results,,325 Govan Road,Glasgow,G51 2SE,325 Govan Road,Offices and Workshop businesses,Office/Workshop,462,74,E,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,73.99,"55,440.00",55.44,0.06
,,,,L632400325 F0G02,OFFICE,FLAT GROUND-2325 GOVAN ROADGLASGOWG51 2SE,CRANNOG ESTATES LIMITED,MERCHANT RESIDENTIAL LIMITED,"£6,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=325+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400325+F0G02&PPRN=47552506&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=325+Govan+Road&searchtype=listing#results,,325 Govan Road,Glasgow,G51 2SE,325 Govan Road,Offices and Workshop businesses,Office/Workshop,462,74,E,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,73.99,"55,440.00",55.44,0.06
,,,,L632400325 F0G03,OFFICE,SUITE 03325 GOVAN ROADGLASGOWG51 2SE,CRANNOG ESTATES LIMITED,CSENG (GROUP) LIMITED,"£9,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=325+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L632400325+F0G03&PPRN=47552514&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=325+Govan+Road&searchtype=listing#results,,325 Govan Road,Glasgow,G51 2SE,325 Govan Road,Offices and Workshop businesses,Office/Workshop,462,74,E,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,73.99,"55,440.00",55.44,0.06
,,,,L408000024 00010,WORKSHOP,GROUND24 FAIRLEY STREETGLASGOWG51 2SN,MR AMIN,UMER BUTT,"£6,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=24+Fairley+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L408000024+00010&PPRN=47229950&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=24+Fairley+Street&searchtype=listing#results,,24 Fairley Street,Glasgow,G51 2SN,24 Fairley Street,Offices and Workshop businesses,Office/Workshop,966,15,A,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,14.61,"28,980.00",28.98,0.03
,,,,L408000024 00015,STORE,UPPER24 FAIRLEY STREETGLASGOWG51 2SN,MOHAMMED AMIN,MOHAMMED RAFIQ,"£11,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=24+Fairley+Street&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L408000024+00015&PPRN=47319097&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=24+Fairley+Street&searchtype=listing#results,,24 Fairley Street,Glasgow,G51 2SN,24 Fairley Street,Offices and Workshop businesses,Office/Workshop,966,15,A,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,14.61,"28,980.00",28.98,0.03
