ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Block DE PDRU,1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1667,71,E,70.58,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"250,050.00",250.05,0.25
Block DD Podiatry,1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1351,60,D,59.64,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"148,610.00",148.61,0.15
ICE Building,Queen Elizabeth University Hospital Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,4334,44,C,44.5,CHP generators,Grid supplied,Natural Gas,Air Conditioning,,"650,100.00",650.1,0.65
Block DI Westmarc,1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,4407,28,B,27.97,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"286,455.00",286.46,0.29
Block BW1_BW2 Neurology (1 and 2),1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,6353,77,E,77.44,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"952,950.00",952.95,0.95
Teaching and Learning Centre,Queen Elizabeth University Hospital 1345 Govan Ro,Glasgow,G51 4TF,Universities/college,C2 Residential Institutions - Universities and colleges,6111,25,B,25.11,CHP generators,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"336,105.00",336.11,0.34
ICE Building,Queen Elizabeth University Hospital Goven Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,4334,44,C,44.5,CHP generators,Grid supplied,Natural Gas,Air Conditioning,,"650,100.00",650.1,0.65
New Office Facility Queen Elizabeth University Hospital,1345 Govan Road,Glasgow,G51 4TF,Office/Workshop,B1 Offices and Workshop businesses,8531,17,B+,17.23,Photovoltaics,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"469,205.00",469.21,0.47
Block DA Queen Elizabeth National Spinal Injuries Unit,1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,5477,63,E+,62.91,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"821,550.00",821.55,0.82
Block BC Institute of Neurological Sciences,1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,14005,57,D,57.23,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"1,540,550.00","1,540.55",1.54
217 BOGMOOR ROAD,,GLASGOW,G51 4TH,Office/Workshop,Offices and Workshop businesses,680,130,G,130.14,None,Grid supplied,Oil,Heating and Natural Ventilation,,"81,600.00",81.6,0.08
Princes Former Canteen Building,75 Bogmoor Road,Glasgow,G51 4TJ,Office/Workshop,Offices and Workshop businesses,480,72,E,72.34,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"57,600.00",57.6,0.06
Unit 3,39 Bogmoor Place,Glasgow,G51 4TQ,General Industrial,General Industrial and Special Industrial Groups,2126,7,A+,6.87,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"63,780.00",63.78,0.06
31 ARNGASK ROAD,,GLASGOW,G51 4TR,Office/Workshop,Offices and Workshop businesses,163,102,G,102.48,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"19,560.00",19.56,0.02
Garage,31 Shieldhall Road,Glasgow,G51 4XB,Retail/Financial,Retail/Financial and Professional services,209,53,D,53.35,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"20,900.00",20.9,0.02
Janet Harvey Hall,Govan,Glasgow,G51 4XP,General Industrial,General Industrial and Special Industrial Groups,17941,4,A+,3.89,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"538,230.00",538.23,0.54
Robert Napier Building 9640 BAE Systems Naval Ships,1048 Govan Road,Glasgow,G51 4XP,Office/Workshop,Offices and Workshop businesses,2633,25,B,24.5,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"144,815.00",144.82,0.14
Charles Randolph Building 9639 BAE Systems Naval Ships,1048 Govan Road,Glasgow,G51 4XP,Office/Workshop,Offices and Workshop businesses,1694,33,C+,32.64,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"143,990.00",143.99,0.14
