ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Units 1-4,Drumoyne Industrial Estate,Glasgow,G51 4DX,Office/Workshop,Offices and Workshop businesses,88,36,C+,36.41,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,480.00",7.48,0.01
2nd Floor West Office,135 Fifty Pitches Road,Glasgow,G51 4EB,Office/Workshop,Offices and Workshop businesses,288,47,D+,47.29,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"28,800.00",28.8,0.03
Caledonia House,Fifty Pitches Road,Glasgow,G51 4EB,Office/Workshop,Offices and Workshop businesses,7421,63,E+,62.74,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"890,520.00",890.52,0.89
1st Floor West Office,135 Fifty Pitches Road,Glasgow,G51 4EB,Office/Workshop,Offices and Workshop businesses,288,52,D+,52.13,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"28,800.00",28.8,0.03
135 FIFTY PITCHES ROAD,,GLASGOW,G51 4EB,Office/Workshop,Offices and Workshop businesses,2791,28,B,28.33,Photovoltaics,Grid supplied,Natural Gas,Air Conditioning,,"153,505.00",153.51,0.15
120 Fifty Pitches Road,,Glasgow,G51 4EB,Storage/Distribution,Storage or Distribution,1788,40,C,39.73,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"53,640.00",53.64,0.05
2nd Floor East Office,135 Fifty Pitches Road,Glasgow,G51 4EB,Office/Workshop,Offices and Workshop businesses,508,46,D+,46.31,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"50,800.00",50.8,0.05
Dobbies Garden World,75 Kings Inch Dr,Glasgow,G51 4FB,Retail/Financial,Retail/Financial and Professional services,5309,49,D+,49.37,None,Grid supplied,Biomass,Heating and Natural Ventilation,,"530,900.00",530.9,0.53
IKEA BRAEHEAD RETAIL PARK,99 KING'S INCH DRIVE,GLASGOW,G51 4FB,Retail/Financial,Retail/Financial and Professional services,28761,31,C+,30.78,Photovoltaics,Grid supplied,Natural Gas,Air Conditioning,,"2,444,685.00","2,444.69",2.44
80 FIFTY PITCHES PLACE,,GLASGOW,G51 4GA,Office/Workshop,Offices and Workshop businesses,1918,17,B+,17.27,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"105,490.00",105.49,0.11
9 FIFTY PITCHES PLACE,,GLASGOW,G51 4GA,General Industrial,General Industrial and Special Industrial Groups,4592,6,A+,6.21,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"137,760.00",137.76,0.14
37B MEIKLEWOOD ROAD,,GLASGOW,G51 4GB,Office/Workshop,Offices and Workshop businesses,397,20,B+,19.59,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"21,835.00",21.84,0.02
37A MEIKLEWOOD ROAD,,GLASGOW,G51 4GB,Office/Workshop,Offices and Workshop businesses,397,15,A,15.44,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"11,910.00",11.91,0.01
Luma Tower,510 Shieldhall Road,Glasgow,G51 4HE,Office/Workshop,Offices and Workshop businesses,89,82,F+,82.43,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,680.00",10.68,0.01
155 HARDGATE ROAD,,GLASGOW,G51 4LS,Office/Workshop,Offices and Workshop businesses,1186,56,D,55.52,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"118,600.00",118.6,0.12
1193 GOVAN ROAD,,GLASGOW,G51 4PW,Office/Workshop,Offices and Workshop businesses,64,115,G,115.15,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,680.00",7.68,0.01
1209 GOVAN ROAD,,GLASGOW,G51 4PW,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,245,67,E+,67.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,400.00",29.4,0.03
1195 Govan Road,,Glasgow,G51 4PW,Office/Workshop,Offices and Workshop businesses,44,300,G,300.42,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,280.00",5.28,0.01
1205 GOVAN ROAD,,GLASGOW,G51 4PW,Retail/Financial,Retail/Financial and Professional services,55,21,B+,21.09,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,025.00",3.03,0
9 Burghead Place,,Glasgow,G51 4QN,Retail/Financial,Retail/Financial and Professional services,42,166,G,165.57,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,040.00",5.04,0.01
GOVAN/LINTHOUSE PARISH CHURCH,9 SKIPNESS DRIVE,GLASGOW,G51 4RL,Community/Day Centre,Non-residential Institutions: Community/Day Centre,394,137,G,136.98,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"47,280.00",47.28,0.05
Govan / Linthouse Parish Church (West Hall),9 Skipness Drive,Glasgow,G51 4RL,Community/Day Centre,Non-residential Institutions: Community/Day Centre,240,64,E+,64.5,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,800.00",28.8,0.03
Govan / Linthouse Parish Church (East Hall),9 Skipness Drive,Glasgow,G51 4RL,Community/Day Centre,Non-residential Institutions: Community/Day Centre,245,76,E,76.26,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,400.00",29.4,0.03
1149 Govan Road,,Glasgow,G51 4RX,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,207,126,G,125.89,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"24,840.00",24.84,0.02
1139 GOVAN ROAD,,GLASGOW,G51 4RX,Retail/Financial,Retail/Financial and Professional services,36,104,G,104.34,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,320.00",4.32,0
1121 GOVAN ROAD,,GLASGOW,G51 4RX,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,155,226,G,225.66,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,600.00",18.6,0.02
16 Linthouse Drive,,Glasgow,G51 4RZ,Hotel,Hotels,2393,47,D+,47,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"239,300.00",239.3,0.24
21 Linthouse Drive,,GLASGOW,G51 4RZ,Residential space,Residential spaces,598,27,B,26.94,Photovoltaics,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"32,890.00",32.89,0.03
Scrap Metal Yard King George V Dock,Renfrew Road,Glasgow,G51 4SD,Office/Workshop,Offices and Workshop businesses,262,59,D,58.66,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"26,200.00",26.2,0.03
339 RENFREW ROAD,,GLASGOW,G51 4SP,Office/Workshop,Offices and Workshop businesses,576,28,B,27.86,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"31,680.00",31.68,0.03
325 RENFREW ROAD,,GLASGOW,G51 4SP,General Industrial,General Industrial and Special Industrial Groups,1217,59,D,58.51,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"121,700.00",121.7,0.12
337 RENFREW ROAD,,GLASGOW,G51 4SP,Office/Workshop,Offices and Workshop businesses,630,49,D+,48.59,Other non-calculated,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"63,000.00",63,0.06
SHIELDHALL SEWAGE WORKS,170 RENFREW ROAD,GLASGOW,G51 4SU,Office/Workshop,Offices and Workshop businesses,1034,76,E,75.6,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"124,080.00",124.08,0.12
75,Hardgate Road,Glasgow,G51 4SX,Office/Workshop,Offices and Workshop businesses,2541,37,C+,37.33,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"215,985.00",215.99,0.22
,2 Row Avenue,Glasgow,G51 4SY,Hotel,C1 Hotels,4183,183,G,182.93,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"501,960.00",501.96,0.5
180 Hardgate Road,,Glasgow,G51 4TB,Storage/Distribution,Storage or Distribution,7927,35,C+,35.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"237,810.00",237.81,0.24
Block BL_DB Maternity (1 and 2),1345 Govan Road,Glasgow,G51 4TF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,11986,66,E+,66.29,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"1,797,900.00","1,797.90",1.8
