ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 1A,Milnpark Trading Estate,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,201,78,E,78.03,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"24,120.00",24.12,0.02
Unit 1E,Milnpark Trading Estate,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,223,86,F+,86.43,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"26,760.00",26.76,0.03
Building 2 Jewson,129 Maxwell Road,Glasgow,G41 1SN,Storage/Distribution,Storage or Distribution,1145,44,C,44.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"34,350.00",34.35,0.03
164 Maxwell Raod,,Glasgow,G41 1SS,Storage/Distribution,B8 Storage or Distribution,4320,51,D+,50.6,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"129,600.00",129.6,0.13
49 mcculloch street,Pollokshields,Glasgow,G41 1SU,Storage/Distribution,Storage or Distribution,27,48,D+,48.49,None,Grid supplied,Other,Unconditioned,,810,0.81,0
253 MAXWELL ROAD,,GLASGOW,G41 1TE,Retail/Financial,Retail/Financial and Professional services,100,66,E+,65.82,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,000.00",12,0.01
18 Harley Street,,Glasgow,G51 1AH,Office/Workshop,Offices and Workshop businesses,80,80,E,79.7,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"9,600.00",9.6,0.01
22 IBROX STREET,,GLASGOW,G51 1AQ,Retail/Financial,Retail/Financial and Professional services,53,31,C+,31.03,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,505.00",4.51,0
PARK BAR,442 PAISLEY ROAD WEST,GLASGOW,G51 1BE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,210,149,G,148.88,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"25,200.00",25.2,0.03
Kensington Bar,408 Paisley Road West,Glasgow,G51 1BE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,141,71,E,71.28,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"16,920.00",16.92,0.02
410 PAISLEY ROAD WEST,,GLASGOW,G51 1BE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,88,143,G,143.39,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,560.00",10.56,0.01
358-360 Paisley Road West,,Glasgow,G51 1BG,Retail/Financial,Retail/Financial and Professional services,73,157,G,157.07,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"8,760.00",8.76,0.01
386 PAISLEY ROAD WEST,,GLASGOW,G51 1BG,Retail/Financial,Retail/Financial and Professional services,51,130,G,129.73,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,120.00",6.12,0.01
264 Paisley Road West,,Glasgow,G51 1BN,Retail/Financial,Retail/Financial and Professional services,192,56,D,55.54,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"19,200.00",19.2,0.02
District Bar,252 Paisley Road West,Glasgow,G51 1BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,420,59,D,59.38,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"42,000.00",42,0.04
242 PAISLEY ROAD WEST,,GLASGOW,G51 1BU,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,62,68,E+,67.96,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,440.00",7.44,0.01
218 PAISLEY ROAD WEST,,GLASGOW,G51 1BU,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,179,107,G,106.67,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"21,480.00",21.48,0.02
9 HARVIE STREET,,GLASGOW,G51 1BW,Retail/Financial,Retail/Financial and Professional services,143,91,F,91.05,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"17,160.00",17.16,0.02
VILLAGE HOTEL,7 FESTIVAL GATE,GLASGOW,G51 1DB,Hotel,Hotels,7899,70,E+,69.55,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"947,880.00",947.88,0.95
Unit Ground - North Wing,100 Brand Street,Glasgow,G51 1DG,Retail/Financial,Retail/Financial and Professional services,240,60,D,59.76,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"24,000.00",24,0.02
100 Brand Street,,Glasgow,G51 1DG,Office/Workshop,Offices and Workshop businesses,2765,52,D+,51.55,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"276,500.00",276.5,0.28
UNIT G2,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,68,49,D+,48.93,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,800.00",6.8,0.01
Festival Court 2,199 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1350,20,B+,19.72,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"74,250.00",74.25,0.07
UNIT F10,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,22,83,F+,83.27,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,640.00",2.64,0
