ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Ground Floor Office,10 Seaward Place,Glasgow,G41 1HH,Office/Workshop,Offices and Workshop businesses,118,11,A,10.99,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"3,540.00",3.54,0
10 Seaward Place,,GLASGOW,G41 1HH,Office/Workshop,Offices and Workshop businesses,280,51,D+,51.46,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,000.00",28,0.03
Ground Floor North,5 Seward Place,Glasgow,G41 1HH,Office/Workshop,Offices and Workshop businesses,716,27,B,27.2,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"39,380.00",39.38,0.04
First Floor,7 Seaward Place,Glasgow,G41 1HH,Office/Workshop,Offices and Workshop businesses,128,22,B+,22.48,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"7,040.00",7.04,0.01
14 SEAWARD PLACE,,GLASGOW,G41 1HH,Office/Workshop,Offices and Workshop businesses,529,53,D,52.73,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"52,900.00",52.9,0.05
3 Seaward Place,,Glasgow,G41 1HH,Office/Workshop,Offices and Workshop businesses,1208,54,D,54.01,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"120,800.00",120.8,0.12
82 Seaward Street,,Glasgow,G41 1HJ,Retail/Financial,Retail/Financial and Professional services,897,119,G,119.17,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"107,640.00",107.64,0.11
89 SEAWARD STREET,,GLASGOW,G41 1HJ,Office/Workshop,Offices and Workshop businesses,1283,18,B+,18.13,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"70,565.00",70.57,0.07
Office Space,76-78 Seaward Street,Glasgow,G41 1HJ,Office/Workshop,Offices and Workshop businesses,199,445,G,444.87,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"23,880.00",23.88,0.02
Function Suite,76-78 Seaward Street,Glasgow,G41 1HJ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,730,246,G,245.79,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"87,600.00",87.6,0.09
44 Seaward Street,,Glasgow,G41 1HJ,Retail/Financial,Retail/Financial and Professional services,799,62,E+,62.01,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"95,880.00",95.88,0.1
64 Seaward Street,,Glasgow,G41 1HJ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,269,474,G,474.1,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"32,280.00",32.28,0.03
95 Seaward Street,,Glasgow,G41 1HJ,Retail/Financial,A1/A2 Retail and Financial/Professional services,3008,61,E+,60.56,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"360,960.00",360.96,0.36
17 ADMIRAL STREET,,GLASGOW,G41 1HP,Office/Workshop,Offices and Workshop businesses,100,59,D,58.81,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,000.00",10,0.01
7 ADMIRAL STREET,,GLASGOW,G41 1HP,Office/Workshop,Offices and Workshop businesses,195,38,C,38.23,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,400.00",23.4,0.02
19 ADMIRAL STREET,,GLASGOW,G41 1HP,Office/Workshop,Offices and Workshop businesses,336,55,D,54.8,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"33,600.00",33.6,0.03
31-37 Admiral Street,,Glasogw,G41 1HP,Retail/Financial,Retail/Financial and Professional services,2007,135,G,134.76,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"240,840.00",240.84,0.24
25-27 Admiral Street,,Glasgow,G41 1HP,General Industrial,General Industrial and Special Industrial Groups,577,69,E+,69.36,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"69,240.00",69.24,0.07
36 ADMIRAL STREET,,GLASGOW,G41 1HU,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,84,24,B,23.78,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"4,620.00",4.62,0
40 ADMIRAL STREET,,GLASGOW,G41 1HU,Retail/Financial,Retail/Financial and Professional services,336,59,D,59.16,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"33,600.00",33.6,0.03
26 Stanley Street,,Glasgow,G41 1JB,Retail/Financial,Retail/Financial and Professional services,1447,26,B,25.59,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"79,585.00",79.59,0.08
70 Stanley Street,,GLASGOW,G41 1JB,Office/Workshop,Offices and Workshop businesses,196,136,G,136.37,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"23,520.00",23.52,0.02
18-20 Stanley Street,,Glasgow,G41 1JB,Office/Workshop,Offices and Workshop businesses,513,56,D,55.97,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"51,300.00",51.3,0.05
78A STANLEY STREET,,GLASGOW,G41 1JH,Office/Workshop,Offices and Workshop businesses,262,96,F,96.26,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"31,440.00",31.44,0.03
126-136 Stanley Street,,Glasgow,G41 1JH,Office/Workshop,Offices and Workshop businesses,3905,78,E,78.13,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"468,600.00",468.6,0.47
50 MARLOW STREET,,GLASGOW,G41 1LR,General Industrial,General Industrial and Special Industrial Groups,880,69,E+,69.11,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"105,600.00",105.6,0.11
Unit 1 Excelsior Industrial Estate,Vermont Street,Glasgow,G41 1LU,General Industrial,General Industrial and Special Industrial Groups,258,102,G,101.8,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,960.00",30.96,0.03
"Unit B, Excelsior Industrial Estate",Vermont Street,Glasgow,G41 1LU,Retail/Financial,Retail/Financial and Professional services,1360,35,C+,34.98,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"115,600.00",115.6,0.12
Unit 6 Excelsior Industrial Estate,Vermont Street,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,398,12,A,12.42,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,940.00",11.94,0.01
Unit 1,Excelsior Industrial Estate,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,267,12,A,11.68,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"8,010.00",8.01,0.01
Unit 2,Excelsior Industrial Estate,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,273,19,B+,18.98,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"8,190.00",8.19,0.01
"Unit 7-8, Excelsior Industrial Estate",Vermont Street,Glasgow,G41 1LU,Retail/Financial,Retail/Financial and Professional services,805,14,A,14.32,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"24,150.00",24.15,0.02
Unit A Excelsior Industrial Estate,Vermont Street,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,2603,25,B,24.7,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"78,090.00",78.09,0.08
Unit A,91 Vermont Street,Glasgow,G41 1LU,Office/Workshop,Offices and Workshop businesses,2072,57,D,57.31,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"207,200.00",207.2,0.21
Unit 5,81 Vermont Street,Glasgow,G41 1LU,General Industrial,General Industrial and Special Industrial Groups,401,58,D,57.59,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"40,100.00",40.1,0.04
Unit B,91 Vermont Street,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,912,64,E+,63.53,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"27,360.00",27.36,0.03
Unit 3-4 Excelsior Industrial Estate,Vermont Street,Glasgow,G41 1LU,Retail/Financial,Retail/Financial and Professional services,533,9,A,9.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,990.00",15.99,0.02
Unit 7 & 8,85-87 Vermont Street,Glasgow,G41 1LU,General Industrial,General Industrial and Special Industrial Groups,824,47,D+,46.54,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"82,400.00",82.4,0.08
"Unit 5, Excelsior Industrial Estate",Vernon Street,Glasgow,G41 1LU,Storage/Distribution,Storage or Distribution,393,13,A,12.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,790.00",11.79,0.01
Unit 6,83 Vermont Street,Glasgow,G41 1LU,General Industrial,General Industrial and Special Industrial Groups,401,59,D,59.14,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"40,100.00",40.1,0.04
240-242 Seaward Street,,Glasgow,G41 1NG,Storage/Distribution,Storage or Distribution,924,13,A,12.9,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"27,720.00",27.72,0.03
Rear Unit,244 Seaward Street,Glasgow,G41 1NG,Storage/Distribution,Storage or Distribution,681,29,B,28.85,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"20,430.00",20.43,0.02
246 SEAWARD STREET,,GLASGOW,G41 1NG,Storage/Distribution,Storage or Distribution,767,13,A,12.78,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"23,010.00",23.01,0.02
250 SEAWARD STREET,,GLASGOW,G41 1NG,Office/Workshop,Offices and Workshop businesses,1379,33,C+,32.54,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"117,215.00",117.22,0.12
248 SEAWARD STREET,,GLASGOW,G41 1NG,Office/Workshop,Offices and Workshop businesses,480,57,D,56.55,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"48,000.00",48,0.05
Front Unit,244 Seaward Street,Glasgow,G41 1NG,Storage/Distribution,Storage or Distribution,476,14,A,14.37,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,280.00",14.28,0.01
150 MCCULLOCH STREET,,GLASGOW,G41 1NX,Retail/Financial,Retail/Financial and Professional services,27,40,C,39.99,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,240.00",3.24,0
148 MCCULLOCH STREET,,GLASGOW,G41 1NX,Retail/Financial,Retail/Financial and Professional services,35,24,B,24.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,925.00",1.93,0
