OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,Unit 1,246 Edmiston Drive,Glasgow,G51 2YY,93.8,Grid supplied,Natural Gas,267,00QS,00QSME,48.14
,Unit 2 and 4,240 Edmiston Drive,Glasgow,G51 2YY,59.86,Grid supplied,Natural Gas,132,00QS,00QSME,18.94
,"Pavilion 2, Junction 24 Business Park",Helen Street,Lanarkshire,G51 3AD,26,Grid supplied,Natural Gas,143,00QS,00QSME,2.15
,Govan Road Building,6 Harmony Row,Glasgow,G51 3BA,86.72,Grid supplied,Natural Gas,258,00QS,00QSME,15.72
,Roseneath Street Building,6 Harmony Row,Glasgow,G51 3BA,80.3,Grid supplied,Natural Gas,296,00QS,00QSME,16.72
,Warehouse 1,65 Craigton Road,Glasgow,G51 3EQ,68.15,Grid supplied,Natural Gas,207,00QS,00QSME,20.2
,Turner Access,65 Craigton Road,Glasgow,G51 3EQ,39.41,Grid supplied,Natural Gas,207,00QS,00QSME,6.9
,Mitchells Powersystems Ltd,65 Craigton Road,Glasgow,G51 3EQ,37.63,Grid supplied,Natural Gas,216,00QS,00QSME,4.75
,University of Glasgow,65 Craigton Road,Glasgow,G51 3EQ,38.62,Grid supplied,Natural Gas,190,00QS,00QSME,4.83
,Turner HQ Building,65 Craigton Road,Glasgow,G51 3EQ,42.1,Grid supplied,Natural Gas,223,00QS,00QSME,5.96
,Assembly Unit,133 Helen Street,Glasgow,G51 3HA,79.14,Grid supplied,Natural Gas,318,00QS,00QSME,14.47
,"Unit C, D and E  Citylink Industrial Estate",Helen Street,Glasgow,G51 3HD,39.49,Grid supplied,Natural Gas,144,00QS,00QSME,27.66
,Unit J and K Citylink Industrial Estate,Helen Street,Glasgow,G51 3HD,66.07,Grid supplied,Natural Gas,232,00QS,00QSME,40.15
,Storage Building,133 Helen Street,Glasgow,G51 3HD,71.83,Grid supplied,Natural Gas,319,00QS,00QSME,27.57
,Office Building,133 Helen Street,Glasgow,G51 3HD,78.33,Grid supplied,Natural Gas,281,00QS,00QSME,18.71
,Unit B Citylink Industrial Estate,Helen Street,Glasgow,G51 3HD,31.9,Grid supplied,Other,61,00QS,00QSME,9.97
,Unit A Citylink Industrial Estate,Helen Street,Glasgow,G51 3HD,66.82,Grid supplied,Natural Gas,259,00QS,00QSME,30.95
,Workshop & Warehouse,133 Helen Street,Glasgow,G51 3HD,67.47,Grid supplied,Natural Gas,241,00QS,00QSME,18.75
,High Bay Building,133 Helen Street,Glasgow,G51 3HD,95.01,Grid supplied,Natural Gas,324,00QS,00QSME,42.71
,Police Scotland Digital Media Unit,505 Helen Street,Glasgow,G51 3HF,25.75,Grid supplied,Natural Gas,149,00QS,00QSME,4.38
9.067E+11,POLICE SCOTLAND RADIO COMMUNICATIONS,499 HELEN STREET,GLASGOW,G51 3HF,15.38,Grid supplied,Natural Gas,96,00QS,00QSME,2.66
9.067E+11,POLICE SCOTLAND TELECOMMUNICATIONS BUILDING,515 HELEN STREET,GLASGOW,G51 3HF,27.96,Grid supplied,Natural Gas,171,00QS,00QSME,10.07
,6 Harmony Court,Loanbank Place,Glasgow,G51 3HN,39.23,Grid supplied,Natural Gas,207,00QS,00QSME,11.74
9.067E+11,4 Loanbank Place,Govan,Glasgow,G51 3HN,48.11,Grid supplied,Natural Gas,119,00QS,00QSME,22.29
,3 Harmony Court,Loanbank Place,Glasgow,G51 3HN,67.49,Grid supplied,Natural Gas,181,00QS,00QSME,17.09
,2 Harmony Court,Loanbank Place,Glasgow,G51 3HN,112.34,Grid supplied,Natural Gas,417,00QS,00QSME,36.71
,5 Harmony Court,Loanbank Place,Glasgow,G51 3HN,111.27,Grid supplied,Natural Gas,394,00QS,00QSME,35.51
,7 Harmony Court,Loanbank Place,Glasgow,G51 3HN,65.53,Grid supplied,Natural Gas,186,00QS,00QSME,17.09
,Unit 2,54 Helen Street,Glasgow,G51 3HQ,110.71,Grid supplied,Natural Gas,428,00QS,00QSME,32.02
,58 Loanbank Quadrant,Govan,Glasgow,G51 3HZ,71.55,Grid supplied,Natural Gas,191,00QS,00QSME,18.68
,Unit 2,Helen Street Industrial Estate,Glasgow,G51 3JS,3.62,Grid supplied,Other,26,00QS,00QSME,1.11
,Unit 3,Helen Street Industrial Estate,Glasgow,G51 3JS,3.61,Grid supplied,Other,26,00QS,00QSME,1.11
,Unit 4,Helen Street Industrial Estate,Glasgow,G51 3JS,30.05,Grid supplied,Natural Gas,74,00QS,00QSME,18.71
,Offices,779 Govan Road,Glasgow,G51 3JY,57.41,Grid supplied,Natural Gas,174,00QS,00QSME,16.47
,380 Helen Street,Goven,Glasgow,G51 3RN,237.75,Grid supplied,Natural Gas,523,00QS,00QSME,99.05
9.067E+11,STOREY 1/1,1 WATER ROW,GLASGOW,G51 3UW,36.93,Grid supplied,Natural Gas,190,00QS,00QSME,7.3
9.067E+11,PIRIE PARK PRIMARY SCHOOL,337 LANGLANDS ROAD,GLASGOW,G51 4AW,43.25,Grid supplied,Natural Gas,180,00QS,00QSME,31.81
9.067E+11,ST CONSTANTINES PRIMARY SCHOOL,45 DRUMOYNE ROAD,GLASGOW,G51 4AX,36.97,Grid supplied,Natural Gas,136,00QS,00QSME,23.15
9.067E+11,UNIT 3,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,169.39,Grid supplied,Natural Gas,359,00QS,00QSME,55.36
9.067E+11,UNIT 4,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,96.9,Grid supplied,Natural Gas,297,00QS,00QSME,35.04
,Govan Health Centre Dental Practice,Drumoyne Road,Glasgow,G51 4BJ,128.66,Grid supplied,Natural Gas,348,00QS,00QSME,41.65
,Govan HC and Elderpark Clinic,5 Drumoyne Road,Glasgow,G51 4BJ,33.35,Grid supplied,Natural Gas,178,00QS,00QSME,8.35
,Braehead Arena,Kings Inch Road,Glasgow,G51 4BN,21.5,Grid supplied,Natural Gas,136,00RC,00RCMA,4.37
,Unit 1A Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,16.8,Grid supplied,Natural Gas,118,00RC,00RCMA,5.2
123076075,UNIT 46 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BP,123.62,Grid supplied,Natural Gas,421,00RC,00RCMA,25.46
123076150,UNIT 173 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,17.17,Grid supplied,Natural Gas,120,00RC,00RCMA,5.24
,Fast Food Restaurant,Braehead Shopping Centre,Braehead,G51 4BS,95.02,Grid supplied,Natural Gas,210,00RC,00RCMA,84.42
123076113,UNIT 116 BRAEHEAD SHOPPING CENTRE,KING'S INCH ROAD,GLASGOW,G51 4BS,12.83,Grid supplied,Natural Gas,89,00RC,00RCMA,2.75
,Unit 1B,426 Drumoyne Road,Glasgow,G51 4DA,40.27,Grid supplied,Natural Gas,88,00QS,00QSME,11.15
,"Meiklewood Road Complex, Building 2",91 Meiklewood Road,Glasgow,G51 4DU,27.84,Grid supplied,Natural Gas,180,00QS,00QSME,5.72
,"Meiklewood Road Complex, Building 1",91 Meiklewood Road,Glasgow,G51 4DU,40.3,Grid supplied,Natural Gas,204,00QS,00QSME,10.29
,2nd Floor West Office,135 Fifty Pitches Road,Glasgow,G51 4EB,47.29,Grid supplied,Natural Gas,101,00QS,00QSMD,15.5
,Caledonia House,Fifty Pitches Road,Glasgow,G51 4EB,62.74,Grid supplied,Natural Gas,158,00QS,00QSMD,28.54
,1st Floor West Office,135 Fifty Pitches Road,Glasgow,G51 4EB,52.13,Grid supplied,Natural Gas,110,00QS,00QSMD,15.5
,2nd Floor East Office,135 Fifty Pitches Road,Glasgow,G51 4EB,46.31,Grid supplied,Natural Gas,96,00QS,00QSMD,8.78
,Dobbies Garden World,75 Kings Inch Dr,Glasgow,G51 4FB,49.37,Grid supplied,Biomass,319,00RC,00RCMA,26.95
123076030,IKEA BRAEHEAD RETAIL PARK,99 KING'S INCH DRIVE,GLASGOW,G51 4FB,30.78,Grid supplied,Natural Gas,191,00RC,00RCMA,4.47
