ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Melisa House Festival Court,3 Brand Place,Glasgow,G51 1DR,Office/Workshop,Offices and Workshop businesses,1890,57,D,57.11,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"189,000.00",189,0.19
1 Pacific Quay,,Glasgow,G51 1DZ,Office/Workshop,Offices and Workshop businesses,3360,44,C,43.53,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"403,200.00",403.2,0.4
MEDIUS BUILDING,60 PACIFIC QUAY,GLASGOW,G51 1DZ,Office/Workshop,Offices and Workshop businesses,2860,35,C+,35.16,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"243,100.00",243.1,0.24
THE HUB,70 PACIFIC QUAY,GLASGOW,G51 1DZ,Office/Workshop,Offices and Workshop businesses,7277,44,C,43.6,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"873,240.00",873.24,0.87
GLASGOW SCIENCE CENTRE,50 PACIFIC QUAY,GLASGOW,G51 1EA,Library/Museum/Gallery,"Non-residential Institutions: Libraries, Museums, and Galleries",13030,58,D,57.77,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"1,303,000.00","1,303.00",1.3
Kinning Park Nursing Home,,Glasgow,G51 1HA,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1155,64,E+,64.42,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"173,250.00",173.25,0.17
11 Marine Crescent,,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,151,66,E+,65.75,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,120.00",18.12,0.02
STUDIO 6,19 MARINE CRESCENT,GLASGOW,G51 1HD,Office/Workshop,Offices and Workshop businesses,52,25,B,25.26,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,860.00",2.86,0
15 MARINE CRESCENT,,GLASGOW,G51 1HD,Office/Workshop,B1 Offices and Workshop businesses,129,39,C,39.48,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"15,480.00",15.48,0.02
17 MARINE CRESCENT,,GLASGOW,G51 1HD,Retail/Financial,A1/A2 Retail and Financial/Professional services,136,90,F+,89.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,320.00",16.32,0.02
21 MARINE CRESCENT,,GLASGOW,G51 1HD,Storage/Distribution,Storage or Distribution,147,22,B+,21.91,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,410.00",4.41,0
Studio 1,19 Marine Crescent,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,58,67,E+,67.41,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,960.00",6.96,0.01
STUDIO 2,19 MARINE CRESCENT,GLASGOW,G51 1HD,Office/Workshop,Offices and Workshop businesses,54,76,E,76.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,480.00",6.48,0.01
9 Marine Crescent,,Glasgow,G51 1HD,Office/Workshop,Offices and Workshop businesses,93,97,F,97.14,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,160.00",11.16,0.01
