ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
IBROX COMMUNITY TRUST,80 HINSHELWOOD DRIVE,GLASGOW,G51 2XP,General Assembly/Leisure,"General Assembly and Leisure, Night Clubs, and Theatres",1018,136,G,136.4,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"122,160.00",122.16,0.12
35 WHITEFIELD ROAD,,GLASGOW,G51 2YB,Office/Workshop,Offices and Workshop businesses,312,44,C,43.63,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"37,440.00",37.44,0.04
705 GOVAN ROAD,,GLASGOW,G51 2YJ,Retail/Financial,Retail/Financial and Professional services,282,65,E+,65.12,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"33,840.00",33.84,0.03
796 GOVAN ROAD,,GLASGOW,G51 2YL,General Assembly/Leisure,D2 General Assembly and Leisure plus Night Clubs and Theatres,377,223,G,222.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"45,240.00",45.24,0.05
788 Govan Road,,,G51 2YL,Retail/Financial,Retail/Financial and Professional services,152,88,F+,88.44,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"18,240.00",18.24,0.02
EDMISTON HOUSE,100 EDMISTON DRIVE,GLASGOW,G51 2YX,Library/Museum/Gallery,"Non-residential Institutions: Libraries, Museums, and Galleries",2525,7,A+,6.63,Photovoltaics,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"75,750.00",75.75,0.08
Unit 6,242 Edmiston Drive,Glasgow,G51 2YY,Office/Workshop,Offices and Workshop businesses,365,68,E+,68.27,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"43,800.00",43.8,0.04
Unit 5,210 Edmiston Drive,Glasgow,G51 2YY,Storage/Distribution,Storage or Distribution,1911,71,E,70.56,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"57,330.00",57.33,0.06
Unit 1,246 Edmiston Drive,Glasgow,G51 2YY,Office/Workshop,Offices and Workshop businesses,830,94,F,93.8,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"99,600.00",99.6,0.1
Unit 2 and 4,240 Edmiston Drive,Glasgow,G51 2YY,Storage/Distribution,Storage or Distribution,1146,60,D,59.86,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"34,380.00",34.38,0.03
Unit 3,218-228 Edmiston Drive,Glasgow,G51 2YY,Storage/Distribution,Storage or Distribution,1797,183,G,182.88,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"53,910.00",53.91,0.05
20 WANLOCK STREET,,GLASGOW,G51 3AB,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,769,71,E,71.4,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"115,350.00",115.35,0.12
382 Helen Street,,Glasgow,G51 3AD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,241,59,D,59.32,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"24,100.00",24.1,0.02
378 Helen Street,,Glasgow,G51 3AD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,133,21,B+,20.91,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,315.00",7.32,0.01
"Pavilion 2, Junction 24 Business Park",Helen Street,Lanarkshire,G51 3AD,Office/Workshop,Offices and Workshop businesses,871,26,B,26,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"47,905.00",47.91,0.05
380 Helen Street,,Glasgow,G51 3AD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,186,13,A,12.88,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,580.00",5.58,0.01
382 Helen Street,Goven,Glasgow,G51 3AD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,235,311,G,311.27,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,200.00",28.2,0.03
948 Govan Road,,Glasgow,G51 3AF,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,128,344,G,344.09,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"15,360.00",15.36,0.02
962 GOVAN ROAD,,GLASGOW,G51 3AJ,Retail/Financial,Retail/Financial and Professional services,76,21,B+,20.98,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,180.00",4.18,0
Govan Road Building,6 Harmony Row,Glasgow,G51 3BA,Office/Workshop,Offices and Workshop businesses,503,87,F+,86.72,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"60,360.00",60.36,0.06
6 HARMONY ROW,,GLASGOW,G51 3BA,Office/Workshop,Offices and Workshop businesses,1376,89,F+,89.41,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"165,120.00",165.12,0.17
Roseneath Street Building,6 Harmony Row,Glasgow,G51 3BA,Office/Workshop,Offices and Workshop businesses,761,80,E,80.3,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"91,320.00",91.32,0.09
9 HARMONY ROW,,GLASGOW,G51 3BB,Office/Workshop,Offices and Workshop businesses,39,22,B+,22.45,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,145.00",2.15,0
15 Shaw Street,,Glasgow,G51 3BJ,Retail/Financial,Retail/Financial and Professional services,56,29,B,28.77,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,080.00",3.08,0
70 SHAW STREET,,GLASGOW,G51 3BL,Office/Workshop,Offices and Workshop businesses,133,63,E+,62.94,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"15,960.00",15.96,0.02
88 LANGLANDS ROAD,,GLASGOW,G51 3BQ,Retail/Financial,Retail/Financial and Professional services,60,53,D,53.45,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,000.00",6,0.01
803 GOVAN ROAD,,GLASGOW,G51 3DJ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,648,138,G,138.44,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"77,760.00",77.76,0.08
901 GOVAN ROAD,,GLASGOW,G51 3DN,Retail/Financial,Retail/Financial and Professional services,46,33,C+,33.34,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,910.00",3.91,0
881 GOVAN ROAD,,GLASGOW,G51 3DN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,263,51,D+,51.33,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"26,300.00",26.3,0.03
905 GOVAN ROAD,,GLASGOW,G51 3DN,Retail/Financial,Retail/Financial and Professional services,36,27,B,26.82,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,980.00",1.98,0
897 GOVAN ROAD,,GLASGOW,G51 3DN,Retail/Financial,Retail/Financial and Professional services,136,22,B+,21.51,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"7,480.00",7.48,0.01
907 GOVAN ROAD,,GLASGOW,G51 3DN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,253,60,D,59.69,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"25,300.00",25.3,0.03
1002 Govan Road,,Glasgow,G51 3DU,Retail/Financial,A1/A2 Retail and Financial/Professional services,157,79,E,79,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"18,840.00",18.84,0.02
1008 GOVAN ROAD,,GLASGOW,G51 3DU,Retail/Financial,Retail/Financial and Professional services,66,12,A,12.21,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,980.00",1.98,0
1016 GOVAN ROAD,,GLASGOW,G51 3DU,Retail/Financial,Retail/Financial and Professional services,42,138,G,138.49,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,040.00",5.04,0.01
Warehouse 1,65 Craigton Road,Glasgow,G51 3EQ,Storage/Distribution,Storage or Distribution,489,68,E+,68.15,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"14,670.00",14.67,0.01
Turner Access,65 Craigton Road,Glasgow,G51 3EQ,Office/Workshop,Offices and Workshop businesses,636,39,C,39.41,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"76,320.00",76.32,0.08
