ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
3 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Storage/Distribution,Storage or Distribution,667,67,E+,67.49,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"20,010.00",20.01,0.02
4 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Storage/Distribution,Storage or Distribution,563,9,A,9.34,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,890.00",16.89,0.02
9 Loanbank Place,,Glasgow,G51 3HN,General Industrial,General Industrial and Special Industrial Groups,721,30,B,30.15,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"39,655.00",39.66,0.04
8 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Storage/Distribution,Storage or Distribution,368,9,A,8.51,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,040.00",11.04,0.01
1 LOANBANK PLACE,,GLASGOW,G51 3HN,Retail/Financial,A1/A2 Retail and Financial/Professional services,467,54,D,53.81,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"46,700.00",46.7,0.05
2 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Storage/Distribution,Storage or Distribution,568,112,G,112.34,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"17,040.00",17.04,0.02
5 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Retail/Financial,Retail/Financial and Professional services,273,111,G,111.27,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"32,760.00",32.76,0.03
7 Harmony Court,Loanbank Place,Glasgow,G51 3HN,Storage/Distribution,Storage or Distribution,441,66,E+,65.53,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"13,230.00",13.23,0.01
Units 7&8,54 Helen Street,Glasgow,G51 3HQ,Storage/Distribution,Storage or Distribution,947,20,B+,19.53,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"28,410.00",28.41,0.03
Unit 2,54 Helen Street,Glasgow,G51 3HQ,Storage/Distribution,Storage or Distribution,439,111,G,110.71,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"13,170.00",13.17,0.01
