input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00002,OFFICE,GATEHOUSE51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,KEWBROOK LTD SUITE 1,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00002&PPRN=47247037&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00005,OFFICE ETC,BLOCK 100051 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,ACADEMY HOUSE LIMITED,"£41,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00005&PPRN=47246847&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00010,OFFICE,BLOCK 2000 FIRST FLOOR51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,SIMPLY BIZZ SERVICES LTD THE JOHN SMITH'S STADIUM,"£19,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00010&PPRN=47246928&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00013,OFFICE,BLOCK 2000 GROUND FLOOR51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,COMMUNITY INTEGRATED CARE,"£21,750",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00013&PPRN=47475226&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00015,OFFICE,BLOCK 3000 GROUND51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,MONARCH TRANSORT LTD,"£15,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00015&PPRN=47246936&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00020,OFFICE,BLOCK 3000 1ST (PART  2)51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,TELA TECHNOLOGY LTD,"£6,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00020&PPRN=47446293&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00021,OFFICE,BLOCK 3000 1ST (PART)51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,COMHARA SOLUTIONS LTD,"£7,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00021&PPRN=47332824&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00025,OFFICE,BLOCK 4000 GROUND51 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,ONECOM LTD,"£11,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00025&PPRN=47246944&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00026,OFFICE,BLOCK 4000 (1ST FLOOR)51 GOWER STREETGLASGOWG51 1PR,KEWBROOK LTD SUITE 1,SET TRAINING AND RESOURCING LTD,"£9,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00026&PPRN=47445548&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
51 GOWER STREET,UNIT 4000 ACADEMY PARK,Natural Gas,55.2,L635400051 00035,OFFICE,BLOCK 500051 GOWER STREETGLASGOWG51 1PR,CAMLIN (ACADEMY PARK) LTD,PROFESSIONAL DATA MANAGEMENT SERVICES (UK) LTD,"£22,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=51+GOWER+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L635400051+00035&PPRN=47246960&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=51+GOWER+STREET&searchtype=listing#results
