input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
48 Kelvin Avenue,Unit 5,Natural Gas,114.12,X98160/0048,WORKSHOP,48 KELVIN AVENUEHILLINGTONGLASGOWG52 4LT,AVIEMORE TRUSTEE LTD AS TRUSTEE OF AVIEMORE HILLINGTON PARK UNIT TRUST,AFFORDABLE GOLF LTD,"£27,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=48+Kelvin+Avenue&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X98160%2F0048&PPRN=67239110&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=48+Kelvin+Avenue&searchtype=listing#results
46 Kelvin Avenue,Unit 4,Natural Gas,114.74,X98160/0046,WORKSHOP,46 KELVIN AVENUEHILLINGTONGLASGOWG52 4LT,AVIEMORE TRUSTEE LTD AS TRUSTEE OF AVIEMORE HILLINGTON PARK UNIT TRUST,HUGHES ELECTRICAL LTD,"£27,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=46+Kelvin+Avenue&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X98160%2F0046&PPRN=67060021&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=46+Kelvin+Avenue&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0001,WORKSHOP,1 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,AVIEMORE TRUSTEE LTD AS TRUSTEE OF AVIEMORE HILLINGTON PARK UNIT TRUST,SUNBELT RENTALS LTD,"£46,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0001&PPRN=67172679&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0003 /00015,OFFICE,FIRST FLOOR THE HUB3 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,RESOLVE HUB LTD,,"£43,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0003+%2F00015&PPRN=67167993&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0003 /00005,OFFICE,GROUND FLOOR THE HUB3 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,RESOLVE HUB LTD,RESOLVE MEDICOLEGAL LTD,"£43,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0003+%2F00005&PPRN=67166733&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0004,WORKSHOP,4-2 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,RDP (AYR) LTD,,"£61,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0004&PPRN=67059473&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0005,WORKSHOP,5 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,MOHAMED KHALAD CHAUDARY T/A M A INTERNATIONAL,,"£46,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0005&PPRN=67059333&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0009,STORE,9 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,MOHAMMED AKHTAR,,"£17,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0009&PPRN=67059341&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0011,FACTORY,11 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,WHISTLEFIELD PROPERTIES LTD,VENTURA GLOBAL LTD,"£29,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0011&PPRN=67159354&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
Earl Haig Road,Unit 10 Hillington Park Shopping Centre,Oil,67.57,X97860/0013 /00005,WAREHOUSE ETC,13 EARL HAIG ROADHILLINGTONGLASGOWG52 4JU,CHAIR INVESTMENT LTD,PATERSON (SCOTLAND) LTD,"£24,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=Earl+Haig+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=X97860%2F0013+%2F00005&PPRN=67059368&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=Earl+Haig+Road&searchtype=listing#results
