ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 171 Braehead Shopping Centre,King’s Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,92,18,B+,18.37,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,060.00",5.06,0.01
Unit 156,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,78,13,A,13.47,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"2,340.00",2.34,0
Unit 4 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,193,28,B,27.83,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"10,615.00",10.62,0.01
"Unit 139, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,19,41,C,40.9,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"2,280.00",2.28,0
Units 61-62 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,1511,15,A,15.33,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"45,330.00",45.33,0.05
Unit 165 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,67,19,B+,18.74,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"3,685.00",3.69,0
Unit 162B Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,67,19,B+,18.75,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"3,685.00",3.69,0
Unit 38 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,176,18,B+,18.12,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"9,680.00",9.68,0.01
67 (LR48) Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,190,22,B+,21.99,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,450.00",10.45,0.01
Unit 1B Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,2697,15,A,15.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"80,910.00",80.91,0.08
Unit 2 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,475,54,D,53.97,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"47,500.00",47.5,0.05
