OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
9.067E+11,ATLANTIC HOTEL,144 RENFREW STREET,GLASGOW,G3 6RF,117.94,Grid supplied,Natural Gas,571,00QS,00QSMK,62.07
9.067E+11,1 HILL STREET,,GLASGOW,G3 6RN,84.96,Grid supplied,Natural Gas,272,00QS,00QSMK,64.93
9.067E+11,HALDANE BUILDING,30 HILL STREET,GLASGOW,G3 6RN,43.66,Grid supplied,Natural Gas,138,00QS,00QSMK,16.57
,Reid Building,164 Renfrew Street,Glasgow,G3 6RQ,35,Grid supplied,Natural Gas,113,00QS,00QSMK,16.14
,Bourdon Building,167 Renfrew Street,Glasgow,G3 6RQ,52.73,Grid supplied,Natural Gas,164,00QS,00QSMK,16.96
,St. Aloysius’ College Sports Facility,26 Dalhousie Street,Glasgow,G3 6RS,42.36,Grid supplied,Natural Gas,182,,,37.48
9.067E+11,95 CAMBRIDGE STREET,,GLASGOW,G3 6RU,91.16,Grid supplied,Natural Gas,510,00QS,00QSMK,40.67
9.067E+11,91 CAMBRIDGE STREET,,GLASGOW,G3 6RU,161.81,Grid supplied,Natural Gas,528,00QS,00QSMK,58.27
9.067E+11,53 Rose Street,,Glasgow,G3 6SF,59.82,Grid supplied,Natural Gas,305,00QS,00QSMK,7.26
9.067E+11,Floor 3/1,134 Renfrew Street,Glasgow,G3 6ST,48.37,Grid supplied,Natural Gas,141,00QS,00QSMK,15.54
9.067E+11,RICHMOND BUILDING,250 RENFREW STREET,GLASGOW,G3 6TT,80.33,Grid supplied,Natural Gas,416,00QS,00QSMK,13.73
9.067E+11,MCLAYS GUEST HOUSE,272 RENFREW STREET,GLASGOW,G3 6TT,168.89,Grid supplied,Natural Gas,650,00QS,00QSMK,91.15
9.067E+11,212 RENFREW STREET,,GLASGOW,G3 6TX,118.78,Grid supplied,Natural Gas,470,00QS,00QSMK,85.26
9.067E+11,230 RENFREW STREET,,GLASGOW,G3 6TX,119.48,Grid supplied,Natural Gas,484,00QS,00QSMK,66.34
9.067E+11,"224 - 228 Renfrew Street,",,Glasgow,G3 6TX,164.12,Grid supplied,Natural Gas,591,00QS,00QSMK,68.68
,JD Kelly Building,121 Hill Street,Glasgow,G3 6TY,81.66,Grid supplied,Natural Gas,410,00QS,00QSMK,13.04
9.067E+11,20/22 St Georges Road,,Glasgow,G3 6UJ,76.58,Grid supplied,Natural Gas,238,00QS,00QSMK,42.55
9.067E+11,72 ELDERSLIE STREET,,GLASGOW,G3 7AL,38.98,Grid supplied,Natural Gas,99,00QS,00QSMK,18.61
,Stewart House,123 Elderslie Street,Glasgow,G3 7AR,72.82,Grid supplied,Natural Gas,301,00QS,00QSMK,43.45
9.067E+11,123 ELDERSLIE STREET,,Glasgow,G3 7AR,82.44,Grid supplied,Natural Gas,392,00QS,00QSMK,28.21
9.067E+11,138 ELDERSLIE STREET,,GLASGOW,G3 7AW,126.09,Grid supplied,Natural Gas,403,00QS,00QSMK,57.06
