OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
9.067E+11,BLOCK 132 - UNIT 1,48 NASMYTH ROAD SOUTH,GLASGOW,G52 4RE,69.2,Grid supplied,Natural Gas,230,00QS,00QSMD,25.69
9.067E+11,BLOCK 132 - UNIT 3,44 NASMYTH ROAD SOUTH,GLASGOW,G52 4RE,23.37,Grid supplied,Natural Gas,139,00QS,00QSMD,6.44
9.067E+11,BLOCK 130 - UNIT 3,56 NASMYTH ROAD SOUTH,GLASGOW,G52 4RE,60.06,Grid supplied,Natural Gas,300,00QS,00QSMD,12.11
9.067E+11,BLOCK 132 - UNIT 4,42 NASMYTH ROAD SOUTH,GLASGOW,G52 4RE,59.07,Grid supplied,Natural Gas,227,00QS,00QSMD,22.41
9.067E+11,BLOCK 131 - UNIT 2,47 HEPBURN ROAD,GLASGOW,G52 4RJ,37.17,Grid supplied,Natural Gas,192,00QS,00QSMD,7.71
,Block 133 Unit 3/8,39 Hepburn Road,Glasgow,G52 4RJ,49.82,Grid supplied,Natural Gas,208,00QS,00QSMD,17.78
,Block 108 Unit 6,38 Hepburn Road,Glasgow,G52 4RJ,96.04,Grid supplied,Natural Gas,365,00QS,00QSMD,19.38
9.067E+11,BLOCK 131 - UNIT 4,51 HEPBURN ROAD,GLASGOW,G52 4RJ,38.8,Grid supplied,Natural Gas,205,00QS,00QSMD,9.03
123013923,2-4 Watt Road,Hillington Park,Glasgow,G52 4RR,113.57,Grid supplied,Natural Gas,475,00RC,00RCMB,31.91
9.067E+11,BLOCK 133 - UNIT 10,25 HEPBURN ROAD,GLASGOW,G52 4RT,57.63,Grid supplied,Natural Gas,291,00QS,00QSMD,12.85
9.067E+11,BLOCK 133 - UNIT 9,27 HEPBURN ROAD,GLASGOW,G52 4RT,52.56,Grid supplied,Natural Gas,269,00QS,00QSMD,6.19
9.067E+11,BLOCK 133 - UNIT 5,35 HEPBURN ROAD,GLASGOW,G52 4RT,52.97,Grid supplied,Natural Gas,270,00QS,00QSMD,9.85
9.067E+11,BLOCK 133 - UNIT 2,41 HEPBURN ROAD,Glasgow,G52 4RT,83.26,Grid supplied,Natural Gas,324,00QS,00QSMD,26.37
9.067E+11,BLOCK 133 - UNIT 4,37 HEPBURN ROAD,GLASGOW,G52 4RT,50.08,Grid supplied,Natural Gas,256,00QS,00QSMD,11.92
,Block 131,45 Hepburn Road,Glasgow,G52 4RT,55.31,Grid supplied,Natural Gas,162,00QS,00QSMD,19.72
,Pure Offices,1 Ainslie Road,Glasgow,G52 4RU,15.38,Grid supplied,Natural Gas,96,00QS,00QSMD,4.63
,Innovation Centre 1 Ainslie Road,Hillington Park,Glasgow,G52 4RU,37.01,Grid supplied,Natural Gas,123,00QS,00QSMD,18.52
,Ainslie House,24 Ainslie Road,Glasgow,G52 4RU,52.76,Grid supplied,Natural Gas,167,00QS,00QSMD,17.39
,17-19 Ainslie Road,Hillington Park,Glasgow,G52 4RU,47.27,Grid supplied,Natural Gas,244,00QS,00QSMD,8.68
,21-23 Ainslie Road,Hillington Park,Glasgow,G52 4RU,40.68,Grid supplied,Natural Gas,213,00QS,00QSMD,11.26
123013944,38 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,17.33,Grid supplied,Natural Gas,91,00RC,00RCMB,4.05
123013947,41 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,51.98,Grid supplied,Natural Gas,140,00RC,00RCMB,21.68
123013935,19 Watt Road,Hillington Park,Glasgow,G52 4RY,83.65,Grid supplied,Natural Gas,295,00RC,00RCMB,30.14
123013948,42 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,14.85,Grid supplied,Natural Gas,84,00RC,00RCMB,4.32
123013925,6-8 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,43.35,Grid supplied,Natural Gas,220,00RC,00RCMB,9.93
,22-24 Watt Road,Hillington,Glasgow,G52 4RY,53.28,Grid supplied,Natural Gas,156,00RC,00RCMB,15.71
