input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
27 Sandyford Place,45690,Natural Gas,128.16,M844800027 F0101,OFFICE,FLAT 1-127 SANDYFORD PLACEGLASGOWG3 7NG,GLASGOW MARRIAGE COUNSELLING SERVICE,,"£14,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=27+Sandyford+Place&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M844800027+F0101&PPRN=47089822&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=27+Sandyford+Place&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 F0101,OFFICE,FLAT 1-15 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£10,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+F0101&PPRN=47305894&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 F0102,STUDIO,FLAT 1-2ROOM 25 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£1,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+F0102&PPRN=47546182&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 F0103,OFFICE,FLAT 1-3ROOM 35 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£3,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+F0103&PPRN=47569875&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 00005,CAR SPACE,CAR SPACE NO 15 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,VERVE STUDIOS LTD,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+00005&PPRN=47546204&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 00010,CAR SPACE,CAR SPACE NO 25 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+00010&PPRN=47546212&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 00012,CAR SPACE,CAR SPACE NO 35 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+00012&PPRN=47546271&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 00015,CAR SPACE,CAR SPACE NO 45 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+00015&PPRN=47546220&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 00020,CAR SPACE,CAR SPACE NO 55 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+00020&PPRN=47546239&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
5 Newton Terrace Lane,1st Floor and Attic Offices The Studio,Natural Gas,31.82,M505800005 F0201,STUDIO,2ND FLOOR5 NEWTON TERRACE LANEGLASGOWG3 7PB,BURNS COMMERCIAL PROPERTY RENTALS LTD,THE YOGA EXTENSION LTD,"£8,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M505800005+F0201&PPRN=47546190&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=5+Newton+Terrace+Lane&searchtype=listing#results
